月份,样本数,井组数,short比例,平均lag,中位lag,lag0比例,lag3比例,lag44_45比例
2025-03,785,94,0.5579617834394904,12.72484076433121,3.0,0.2662420382165605,0.16178343949044585,0.05477707006369427
2025-04,730,84,0.5438356164383562,13.223287671232876,3.0,0.29041095890410956,0.14657534246575343,0.043835616438356165
2025-05,755,87,0.4384105960264901,18.13907284768212,16.0,0.21324503311258278,0.14966887417218544,0.10993377483443709
2025-06,790,90,0.5316455696202531,12.839240506329114,3.0,0.2848101265822785,0.1518987341772152,0.0379746835443038
2025-07,8000,103,0.465875,15.445625,6.0,0.241125,0.1135,0.059625
2025-08,7725,100,0.4286084142394822,17.13877022653722,14.0,0.22588996763754046,0.11158576051779935,0.07288025889967638
2025-09,7375,94,0.5095593220338983,14.684745762711865,3.0,0.24135593220338983,0.14359322033898306,0.05084745762711865
2025-10,1320,78,0.6196969696969697,10.368939393939394,3.0,0.30303030303030304,0.15681818181818183,0.009848484848484848
2025-11,1095,31,0.7123287671232876,7.155251141552512,1.0,0.41643835616438357,0.09406392694063927,0.006392694063926941
2025-12,1055,32,0.5781990521327014,11.938388625592417,3.0,0.26350710900473934,0.1819905213270142,0.02843601895734597
2026-01,3740,30,0.36310160427807486,17.99331550802139,14.0,0.15802139037433155,0.10802139037433155,0.0858288770053476
2026-02,4255,31,0.4399529964747356,16.197884841363102,12.0,0.15887191539365453,0.15534665099882491,0.06956521739130435
