gap_bucket,相邻对数,lag完全相同率,同分段率,中位绝对变化,平均绝对变化
1天,30325,0.7736850783182193,0.949282769991756,0.0,1.9484253915910965
2-7天,3875,0.5331612903225806,0.8683870967741936,0.0,5.1331612903225805
8-30天,2170,0.23732718894009217,0.6400921658986175,6.0,13.113824884792626
>30天,715,0.17622377622377622,0.5398601398601398,11.0,15.45034965034965
