split,月份,字段,缺失率,零值率,均值,中位数
train,2025-03,LIQ_PROD_DAILY,0.4429140993113447,0.0,27.552984168293214,19.8
train,2025-03,OIL_PROD_DAILY,0.4429140993113447,0.0,4.964482758620689,1.94
train,2025-03,WATER_CUT,0.4429140993113447,0.0,84.05736716547388,88.3
train,2025-03,WH_TEMP,0.44460553340582337,0.0,91.62736567326517,90.0
train,2025-03,MAX_TUBING_PRES,0.05219282348677057,0.3924127099190528,0.26468196303377944,0.2
train,2025-04,LIQ_PROD_DAILY,0.44307116104868915,0.0,26.601970410221924,18.1
train,2025-04,OIL_PROD_DAILY,0.44307116104868915,0.0003745318352059925,4.691506388702084,1.22
train,2025-04,WATER_CUT,0.44307116104868915,0.0,85.06287603676306,90.5
train,2025-04,WH_TEMP,0.4436953807740325,0.0,89.79892280071813,85.0
train,2025-04,MAX_TUBING_PRES,0.06317103620474407,0.3805243445692884,0.25549440298507464,0.19
train,2025-05,LIQ_PROD_DAILY,0.4536667874833877,0.0,25.47690181335692,18.4
train,2025-05,OIL_PROD_DAILY,0.4536667874833877,0.0,4.347189296771339,0.86
train,2025-05,WATER_CUT,0.4536667874833877,0.0,85.06798540468819,92.2
train,2025-05,WH_TEMP,0.4574121058354476,0.0,88.97483856602094,86.0
train,2025-05,MAX_TUBING_PRES,0.057267125770206595,0.4003866135073094,0.23313981801871073,0.15
train,2025-06,LIQ_PROD_DAILY,0.4860174781523096,0.0,27.82389846975953,22.9
train,2025-06,OIL_PROD_DAILY,0.4860174781523096,0.0,4.528843818314306,1.07
train,2025-06,WATER_CUT,0.4860174781523096,0.0,85.38325965508866,92.8
train,2025-06,WH_TEMP,0.48976279650436955,0.0,90.73134328358209,88.0
train,2025-06,MAX_TUBING_PRES,0.04918851435705368,0.44057428214731587,0.22104254201680673,0.13
train,2025-07,LIQ_PROD_DAILY,0.48580403527848254,0.00024163344206838228,29.225256109022553,23.1
train,2025-07,OIL_PROD_DAILY,0.48604566872055094,0.0,4.709433474377057,1.58
train,2025-07,WATER_CUT,0.48604566872055094,0.0,84.61185472496474,90.5
train,2025-07,WH_TEMP,0.48954935363054247,0.0,90.10650887573965,89.0
train,2025-07,MAX_TUBING_PRES,0.032378881237163225,0.4574121058354476,0.2146285428892496,0.12
train,2025-08,LIQ_PROD_DAILY,0.4606741573033708,0.0,27.298884408602152,20.8
train,2025-08,OIL_PROD_DAILY,0.4606741573033708,0.0,4.537414874551971,1.41
train,2025-08,WATER_CUT,0.4606741573033708,0.0,84.67930107526881,90.4
train,2025-08,WH_TEMP,0.46441947565543074,0.0,89.40875253778479,86.0
train,2025-08,MAX_TUBING_PRES,0.021626193065120213,0.4429140993113447,0.21202519140528525,0.12
train,2025-09,LIQ_PROD_DAILY,0.405997693194925,0.0,25.956788834951457,19.9
train,2025-09,OIL_PROD_DAILY,0.405997693194925,0.0,4.597167475728156,1.26
train,2025-09,WATER_CUT,0.405997693194925,0.0,84.84529368932039,92.3
train,2025-09,WH_TEMP,0.40945790080738176,0.0,87.72509765625,85.0
train,2025-09,MAX_TUBING_PRES,0.020617070357554786,0.388840830449827,0.2269247755041955,0.17
train,2025-10,LIQ_PROD_DAILY,0.2911093627065303,0.0,27.606279134295228,23.2
train,2025-10,OIL_PROD_DAILY,0.2911093627065303,0.0,5.460749167591565,1.88
train,2025-10,WATER_CUT,0.2911093627065303,0.0,82.61553551609323,88.9
train,2025-10,WH_TEMP,0.2911093627065303,0.0,85.76803551609324,86.0
train,2025-10,MAX_TUBING_PRES,0.03088119590873328,0.26022816679779703,0.2699614369799066,0.22
train,2025-11,LIQ_PROD_DAILY,0.3355691056910569,0.0,28.499807280513917,24.4
train,2025-11,OIL_PROD_DAILY,0.3355691056910569,0.0,5.707702661364332,2.07
train,2025-11,WATER_CUT,0.3355691056910569,0.0,83.21513612725605,89.1
train,2025-11,WH_TEMP,0.3355691056910569,0.0,88.30070357907617,91.0
train,2025-11,MAX_TUBING_PRES,0.013821138211382113,0.3217479674796748,0.23369126133553172,0.2
train,2025-12,LIQ_PROD_DAILY,0.31372934697088906,0.0,30.37917741473201,26.4
train,2025-12,OIL_PROD_DAILY,0.31372934697088906,0.0,5.592519346517626,2.37
train,2025-12,WATER_CUT,0.31372934697088906,0.0,83.80605331040412,89.9
train,2025-12,WH_TEMP,0.31372934697088906,0.0,90.26256807108054,94.0
train,2025-12,MAX_TUBING_PRES,0.006294256490952006,0.30743509047993706,0.2605245447347585,0.22
