split,字段,行数,缺失数,缺失率,零值数,零值率_全部行,零值率_非空,均值,中位数,标准差,最小值,最大值
train,INJ_VOL_DAILY,56280,32541,0.5781982942430703,442,0.00785358919687278,0.01861914992206917,53.84771894351068,50.0,33.539982530904204,0.0,510.0
train,INJ_LIQ_DAILY,56280,56280,1.0,0,0.0,0.0,,,,,
train,WH_TEMP,56280,14020,0.24911158493248045,0,0.0,0.0,235.620255560814,230.0,20.918192712819895,190.0,304.0
train,STEAM_INJ_PRES,56280,1079,0.019171997157071782,0,0.0,0.0,5.4374167134653355,5.26,0.9660226767612435,3.41,9.97
test,INJ_VOL_DAILY,4408,2439,0.5533121597096189,60,0.013611615245009074,0.03047232097511427,75.75672930421534,60.0,70.74910034669136,0.0,552.0
test,INJ_LIQ_DAILY,4408,4408,1.0,0,0.0,0.0,,,,,
test,WH_TEMP,4408,2424,0.5499092558983666,0,0.0,0.0,241.72076612903226,236.0,14.438792239976596,190.0,285.0
test,STEAM_INJ_PRES,4408,1,0.00022686025408348456,0,0.0,0.0,6.343689584751531,5.97,1.3002731658383722,3.57,8.88
