split,序列,间隔数,中位间隔,P90间隔,1天占比,2天占比,7天占比,30天占比,>1天占比
train,任意记录,80176,1.0,1.0,0.9979669726601477,0.0,0.0,0.0,0.002033027339852325
train,LIQ_PROD_DAILY,46914,1.0,1.0,0.9917508632817496,0.000639467962655071,0.0001918403887965213,2.1315598755169033e-05,0.008249136718250416
train,OIL_PROD_DAILY,46912,1.0,1.0,0.9917505115961801,0.0006394952251023193,0.00019184856753069578,2.131650750341064e-05,0.008249488403819918
train,WATER_CUT,46912,1.0,1.0,0.9917505115961801,0.0006394952251023193,0.00019184856753069578,2.131650750341064e-05,0.008249488403819918
train,WH_TEMP,46749,1.0,1.0,0.9917859205544504,0.0006203341247941132,0.00019251748700506964,2.139083188945218e-05,0.008214079445549638
train,MAX_TUBING_PRES,77370,1.0,1.0,0.9956443065787773,0.0016156132868036708,0.0,0.0,0.004355693421222696
test,任意记录,14833,1.0,1.0,1.0,0.0,0.0,0.0,0.0
test,LIQ_PROD_DAILY,10103,1.0,1.0,0.9906958329209146,0.001187766010096011,0.00019796100168266851,0.0,0.00930416707908542
test,OIL_PROD_DAILY,10103,1.0,1.0,0.9906958329209146,0.001187766010096011,0.00019796100168266851,0.0,0.00930416707908542
test,WATER_CUT,10103,1.0,1.0,0.9906958329209146,0.001187766010096011,0.00019796100168266851,0.0,0.00930416707908542
test,WH_TEMP,10103,1.0,1.0,0.9906958329209146,0.001187766010096011,0.00019796100168266851,0.0,0.00930416707908542
test,MAX_TUBING_PRES,14429,1.0,1.0,0.9959110125441819,0.003118719245962991,6.930487213251092e-05,0.0,0.004088987455818144
