split,月份,字段,均值,中位数,缺失率
train,2025-03,INJ_VOL_DAILY,79.08460471567268,70.0,0.27318548387096775
train,2025-03,LIQ_PROD_DAILY,25.899350649350648,19.6,0.06854838709677419
train,2025-03,OIL_PROD_DAILY,2.98271645021645,1.12,0.06854838709677419
train,2025-03,WATER_CUT,89.99528138528139,93.4,0.06854838709677419
train,2025-03,WH_TEMP,84.91071428571429,80.0,0.06854838709677419
train,2025-03,MAX_TUBING_PRES,0.4033535967578521,0.22,0.005040322580645161
train,2025-04,INJ_VOL_DAILY,73.74700399467376,60.0,0.21770833333333334
train,2025-04,LIQ_PROD_DAILY,27.437544052863437,18.5,0.05416666666666667
train,2025-04,OIL_PROD_DAILY,2.3737665198237887,0.78,0.05416666666666667
train,2025-04,WATER_CUT,91.25537444933921,95.6,0.05416666666666667
train,2025-04,WH_TEMP,88.87885462555066,90.0,0.05416666666666667
train,2025-04,MAX_TUBING_PRES,0.4636809176225235,0.27,0.0010416666666666667
train,2025-05,INJ_VOL_DAILY,73.54259501965925,60.0,0.23084677419354838
train,2025-05,LIQ_PROD_DAILY,25.265256959314776,17.8,0.05846774193548387
train,2025-05,OIL_PROD_DAILY,1.512441113490364,0.58,0.05846774193548387
train,2025-05,WATER_CUT,92.85460920770878,97.2,0.05846774193548387
train,2025-05,WH_TEMP,87.70770877944325,89.0,0.05846774193548387
train,2025-05,MAX_TUBING_PRES,0.43765120967741933,0.26,0.0
train,2025-06,INJ_VOL_DAILY,63.60232220609579,60.0,0.28229166666666666
train,2025-06,LIQ_PROD_DAILY,24.232002176278563,22.7,0.042708333333333334
train,2025-06,OIL_PROD_DAILY,1.3835473340587596,0.39,0.042708333333333334
train,2025-06,WATER_CUT,93.87223068552774,98.6,0.042708333333333334
train,2025-06,WH_TEMP,92.26115342763873,93.0,0.042708333333333334
train,2025-06,MAX_TUBING_PRES,0.4745255474452555,0.32,0.0010416666666666667
train,2025-07,INJ_VOL_DAILY,74.97549770290965,60.0,0.34173387096774194
train,2025-07,LIQ_PROD_DAILY,23.337981545559398,19.4,0.12600806451612903
train,2025-07,OIL_PROD_DAILY,1.6728719723183392,0.61,0.12600806451612903
train,2025-07,WATER_CUT,91.94010957324105,96.2,0.12600806451612903
train,2025-07,WH_TEMP,85.58073817762399,80.0,0.12600806451612903
train,2025-07,MAX_TUBING_PRES,0.42054435483870967,0.23,0.0
train,2025-08,INJ_VOL_DAILY,55.4,40.0,0.5564516129032258
train,2025-08,LIQ_PROD_DAILY,22.53033226152197,20.8,0.059475806451612906
train,2025-08,OIL_PROD_DAILY,1.6608145766345126,0.52,0.059475806451612906
train,2025-08,WATER_CUT,92.12599678456591,97.0,0.059475806451612906
train,2025-08,WH_TEMP,83.20096463022509,77.5,0.059475806451612906
train,2025-08,MAX_TUBING_PRES,0.39314516129032256,0.21,0.0
train,2025-09,INJ_VOL_DAILY,48.64042553191489,40.0,0.5104166666666666
train,2025-09,LIQ_PROD_DAILY,23.163754045307442,19.9,0.034375
train,2025-09,OIL_PROD_DAILY,1.5403991370010786,0.68,0.034375
train,2025-09,WATER_CUT,92.3933764832794,96.6,0.034375
train,2025-09,WH_TEMP,84.23247033441208,78.0,0.034375
train,2025-09,MAX_TUBING_PRES,0.40903124999999996,0.25,0.0
train,2025-10,INJ_VOL_DAILY,95.27102803738318,80.0,0.5685483870967742
train,2025-10,LIQ_PROD_DAILY,24.569617486338796,20.8,0.07762096774193548
train,2025-10,OIL_PROD_DAILY,1.7982841530054645,0.95,0.07762096774193548
train,2025-10,WATER_CUT,91.81922950819673,95.5,0.07762096774193548
train,2025-10,WH_TEMP,82.03005464480874,82.0,0.07762096774193548
train,2025-10,MAX_TUBING_PRES,0.3867662203913491,0.25,0.021169354838709676
train,2025-11,INJ_VOL_DAILY,87.48014440433214,80.0,0.42291666666666666
train,2025-11,LIQ_PROD_DAILY,21.633823529411764,16.8,0.07916666666666666
train,2025-11,OIL_PROD_DAILY,1.6650565610859727,0.8,0.07916666666666666
