split,WELL_GROUP_NAME,LIQ_PROD_DAILY,OIL_PROD_DAILY,WATER_CUT,WH_TEMP,MAX_TUBING_PRES
train,G001,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0
train,G002,0.07162534435261708,0.07162534435261708,0.07162534435261708,0.07162534435261708,0.005509641873278237
train,G003,0.005509641873278237,0.005509641873278237,0.005509641873278237,0.005509641873278237,0.0027548209366391185
train,G004,0.14600550964187328,0.14600550964187328,0.14600550964187328,0.14600550964187328,0.0
train,G005,0.06887052341597796,0.06887052341597796,0.06887052341597796,0.06887052341597796,0.0
train,G006,0.011019283746556474,0.011019283746556474,0.011019283746556474,0.011019283746556474,0.0027548209366391185
train,G007,0.011019283746556474,0.011019283746556474,0.011019283746556474,0.011019283746556474,0.011019283746556474
train,G008,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0
train,G009,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.011019283746556474
train,G010,0.01652892561983471,0.01652892561983471,0.01652892561983471,0.01652892561983471,0.0027548209366391185
train,G011,0.03581267217630854,0.03581267217630854,0.03581267217630854,0.03581267217630854,0.0027548209366391185
train,G012,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.005509641873278237
train,G013,0.011019283746556474,0.011019283746556474,0.011019283746556474,0.011019283746556474,0.0027548209366391185
train,G014,0.0,0.0,0.0,0.0,0.0
train,G015,0.42699724517906334,0.42699724517906334,0.42699724517906334,0.42699724517906334,0.0
train,G016,0.0,0.0,0.0,0.0,0.0
train,G017,0.0,0.0,0.0,0.0,0.0
train,G018,0.0,0.0,0.0,0.0,0.0
train,G019,0.0,0.0,0.0,0.0,0.0
train,G020,0.0,0.0,0.0,0.0,0.0
train,G021,0.0,0.0,0.0,0.0,0.0
train,G022,0.0,0.0,0.0,0.0,0.0
train,G023,0.11570247933884298,0.11570247933884298,0.11570247933884298,0.11570247933884298,0.0
train,G024,0.1652892561983471,0.1652892561983471,0.1652892561983471,0.1652892561983471,0.0
train,G025,0.162534435261708,0.162534435261708,0.162534435261708,0.162534435261708,0.0
train,G026,0.256198347107438,0.256198347107438,0.256198347107438,0.256198347107438,0.0
train,G027,0.0,0.0,0.0,0.0,0.0
train,G028,0.0,0.0,0.0,0.0,0.0
train,G029,0.0,0.0,0.0,0.0,0.0
train,G030,0.3168044077134986,0.3168044077134986,0.3168044077134986,0.3168044077134986,0.0
train,G031,0.07988980716253444,0.07988980716253444,0.07988980716253444,0.07988980716253444,0.0
train,G032,0.0,0.0,0.0,0.0,0.0
train,G033,0.024793388429752067,0.024793388429752067,0.024793388429752067,0.024793388429752067,0.0
train,G034,0.06336088154269973,0.06336088154269973,0.06336088154269973,0.06336088154269973,0.0027548209366391185
train,G035,0.0,0.0,0.0,0.0,0.0
train,G036,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185
train,G037,0.005509641873278237,0.005509641873278237,0.005509641873278237,0.005509641873278237,0.005509641873278237
train,G038,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.005509641873278237
train,G039,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.0027548209366391185
train,G040,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.008264462809917356
train,G041,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185,0.0027548209366391185
train,G042,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0
train,G043,0.07713498622589532,0.07713498622589532,0.07713498622589532,0.07713498622589532,0.0
train,G044,0.0,0.0,0.0,0.0,0.0
train,G045,0.0,0.0,0.0,0.0,0.0
train,G046,0.0,0.0,0.0,0.0,0.0
train,G047,0.005509641873278237,0.005509641873278237,0.005509641873278237,0.005509641873278237,0.0
train,G048,0.0,0.0,0.0,0.0,0.0
train,G049,0.05509641873278237,0.05509641873278237,0.05509641873278237,0.05509641873278237,0.0
train,G050,0.11570247933884298,0.11570247933884298,0.11570247933884298,0.11570247933884298,0.0
train,G051,0.0,0.0,0.0,0.0,0.0
train,G052,0.0,0.0,0.0,0.0,0.0
train,G053,0.0,0.0,0.0,0.0,0.0
train,G054,0.0440771349862259,0.0440771349862259,0.0440771349862259,0.0440771349862259,0.0
train,G055,0.046831955922865015,0.046831955922865015,0.046831955922865015,0.046831955922865015,0.0
