样本数,分段准确率,S_seg,MAE_short,S_short,MAE_long,S_long,总分,实验,预测规则
37625,0.47362126245847175,28.417275747508306,1.1734006734006734,19.439393939393938,28.13259277960111,4.373481444079778,52.23015113098202,全训练固定值,0
37625,0.47362126245847175,28.417275747508306,1.1455667789001123,19.689898989898985,27.13259277960111,4.5734814440797775,52.680656181487066,全训练固定值,1
37625,0.47362126245847175,28.417275747508306,1.3723905723905725,17.648484848484845,26.13259277960111,4.773481444079778,50.83924204007293,全训练固定值,2
37625,0.47362126245847175,28.417275747508306,1.8265993265993266,13.56060606060606,25.13259277960111,4.973481444079778,46.95136325219415,全训练固定值,3
37625,0.5263787375415282,31.58272425249169,2.8265993265993266,4.560606060606062,24.13259277960111,5.173481444079778,41.316811757177526,全训练固定值,4
37625,0.5263787375415282,31.58272425249169,3.8265993265993266,0.0,23.135521332996717,5.372895733400657,36.95561998589235,全训练固定值,5
37625,0.5263787375415282,31.58272425249169,4.826599326599327,0.0,22.151678868972482,5.569664226205504,37.15238847869719,全训练固定值,6
37625,0.5263787375415282,31.58272425249169,5.826599326599327,0.0,21.300631153749052,5.73987376925019,37.32259802174188,全训练固定值,7
37625,0.5263787375415282,31.58272425249169,6.826599326599327,0.0,20.449684423125472,5.910063115374906,37.4927873678666,全训练固定值,8
37625,0.5263787375415282,31.58272425249169,7.826599326599327,0.0,19.602878061095684,6.079424387780864,37.662148640272555,全训练固定值,9
37625,0.5263787375415282,31.58272425249169,8.826599326599327,0.0,18.776369603635445,6.244726079272912,37.8274503317646,全训练固定值,10
37625,0.5263787375415282,31.58272425249169,9.826599326599327,0.0,17.977429941933856,6.404514011613229,37.98723826410492,全训练固定值,11
37625,0.5263787375415282,31.58272425249169,10.826599326599327,0.0,17.204746276192882,6.559050744761425,38.141774997253115,全训练固定值,12
37625,0.5263787375415282,31.58272425249169,11.826599326599327,0.0,16.459429437010854,6.70811411259783,38.29083836508952,全训练固定值,13
37625,0.5263787375415282,31.58272425249169,12.826599326599327,0.0,15.75248674577127,6.849502650845746,38.43222690333744,全训练固定值,14
37625,0.5263787375415282,31.58272425249169,13.826599326599327,0.0,15.089775309265336,6.982044938146934,38.56476919063862,全训练固定值,15
37625,0.5263787375415282,31.58272425249169,14.826599326599327,0.0,14.469477404695784,7.106104519060844,38.68882877155254,全训练固定值,16
37625,0.5263787375415282,31.58272425249169,15.826599326599327,0.0,13.897652108053522,7.220469578389296,38.803193830880986,全训练固定值,17
37625,0.5263787375415282,31.58272425249169,16.826599326599325,0.0,13.374804342337793,7.325039131532441,38.90776338402413,全训练固定值,18
37625,0.5263787375415282,31.58272425249169,17.826599326599325,0.0,12.898510477152234,7.420297904569553,39.003022157061245,全训练固定值,19
37625,0.5263787375415282,31.58272425249169,18.826599326599325,0.0,12.454632668518052,7.50907346629639,39.09179771878808,全训练固定值,20
37625,0.5263787375415282,31.58272425249169,19.826599326599325,0.0,12.043675839434487,7.5912648321131035,39.17398908460479,全训练固定值,21
37625,0.5263787375415282,31.58272425249169,20.826599326599325,0.0,11.66432719010351,7.667134561979299,39.24985881447099,全训练固定值,22
37625,0.5263787375415282,31.58272425249169,21.826599326599325,0.0,11.328603887907095,7.734279222418582,39.31700347491027,全训练固定值,23
37625,0.5263787375415282,31.58272425249169,22.826599326599325,0.0,11.034688210047968,7.793062357990407,39.375786610482095,全训练固定值,24
37625,0.5263787375415282,31.58272425249169,23.826599326599325,0.0,10.789851047715224,7.842029790456955,39.42475404294865,全训练固定值,25
37625,0.5263787375415282,31.58272425249169,24.826599326599325,0.0,10.596415046705378,7.880716990658925,39.46344124315061,全训练固定值,26
37625,0.5263787375415282,31.58272425249169,25.826599326599325,0.0,10.453269376420096,7.909346124715981,39.49207037720767,全训练固定值,27
37625,0.5263787375415282,31.58272425249169,26.826599326599325,0.0,10.362635698056046,7.927472860388791,39.51019711288048,全训练固定值,28
37625,0.5263787375415282,31.58272425249169,27.826599326599325,0.0,10.330876041403686,7.933824791719264,39.516549044210954,全训练固定值,29
37625,0.5263787375415282,31.58272425249169,28.826599326599325,0.0,10.343448624084827,7.931310275183034,39.514034527674724,全训练固定值,30
37625,0.5263787375415282,31.58272425249169,29.826599326599325,0.0,10.404493814693259,7.919101237061348,39.50182548955304,全训练固定值,31
37625,0.5263787375415282,31.58272425249169,30.826599326599325,0.0,10.51078010603383,7.897843978793235,39.48056823128493,全训练固定值,32
37625,0.5263787375415282,31.58272425249169,31.826599326599325,0.0,10.66897248169654,7.866205503660692,39.44892975615238,全训练固定值,33
37625,0.5263787375415282,31.58272425249169,32.82659932659933,0.0,10.88058571067912,7.823882857864176,39.406607110355864,全训练固定值,34
37625,0.5263787375415282,31.58272425249169,33.82659932659933,0.0,11.136228225195657,7.772754354960869,39.35547860745256,全训练固定值,35
37625,0.5263787375415282,31.58272425249169,34.82659932659933,0.0,11.449633930825549,7.710073213834891,39.29279746632658,全训练固定值,36
37625,0.5263787375415282,31.58272425249169,35.82659932659933,0.0,11.805352183791971,7.638929563241607,39.2216538157333,全训练固定值,37
37625,0.5263787375415282,31.58272425249169,36.82659932659933,0.0,12.207422368088867,7.558515526382227,39.14123977887392,全训练固定值,38
37625,0.5263787375415282,31.58272425249169,37.82659932659933,0.0,12.661802575107297,7.467639484978541,39.050363737470235,全训练固定值,39
37625,0.5263787375415282,31.58272425249169,38.82659932659933,0.0,13.181216864428174,7.363756627114366,38.94648087960606,全训练固定值,40
37625,0.5263787375415282,31.58272425249169,39.82659932659933,0.0,13.780308003029537,7.243938399394093,38.82666265188578,全训练固定值,41
37625,0.5263787375415282,31.58272425249169,40.82659932659933,0.0,14.446755869729866,7.110648826054026,38.69337307854572,全训练固定值,42
37625,0.5263787375415282,31.58272425249169,41.82659932659933,0.0,15.164604897753092,6.967079020449382,38.54980327294107,全训练固定值,43
