split,样本数,相关系数,MAE,中位绝对误差,P95绝对误差
test,10229,0.9999758108742887,0.03293558888682164,0.009417475728156433,0.1419251336898431
train,47084,0.9998794973418518,0.029008611959285238,0.009656246643025668,0.10000000000000142
