方案,有效覆盖率,有效样本MAE,有效样本分段准确率,有效样本官方分,缺失回退后官方分
业务默认混合聚合,0.8747109634551495,14.59290206921698,0.6128649995442254,44.21694953273816,42.80599935752323
仅改变注汽量为sum,0.8747109634551495,14.59290206921698,0.6128649995442254,44.21694953273816,42.80599935752323
全部采出指标用mean,0.8747109634551495,14.688067819270152,0.6115280605268755,44.10175156790833,42.704113981754
仅改变注汽量为mean,0.8747109634551495,15.059098781562396,0.611224210750205,44.05024293346314,42.65799293946543
全部采出指标用max,0.8747109634551495,14.708030749597398,0.6097657318221871,43.9989631765102,42.61429837929782
仅改变注汽量为min,0.8747109634551495,15.297499316338003,0.6098872717328553,43.94056896907879,42.56111639984869
仅改变注汽量为max,0.874046511627907,15.046767621480265,0.607583774250441,43.80261950160546,42.43021090180758
全部采出指标用sum,0.8747109634551495,14.869921910607395,0.6058460697031388,43.70903347721004,42.358940064298004
全部采出指标用min,0.800265780730897,15.475954832281634,0.5967120557954168,43.1144504008651,41.22115818600122
